danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song,date,this_week,last_week,peak_position,weeks_on_chart
0.588,0.166,8,-19.538,1,0.0372,0.954,0.879,0.229,0.194,104.232,audio_features,7hOfHLHUyYaOVuL8MxzoLv,spotify:track:7hOfHLHUyYaOVuL8MxzoLv,https://api.spotify.com/v1/tracks/7hOfHLHUyYaOVuL8MxzoLv,https://api.spotify.com/v1/audio-analysis/7hOfHLHUyYaOVuL8MxzoLv,202428,3,The Kirby Stone Four,"Baubles, Bangles And Beads",1958-08-04,51,,50,1
0.588,0.166,8,-19.538,1,0.0372,0.954,0.879,0.229,0.194,104.232,audio_features,7hOfHLHUyYaOVuL8MxzoLv,spotify:track:7hOfHLHUyYaOVuL8MxzoLv,https://api.spotify.com/v1/tracks/7hOfHLHUyYaOVuL8MxzoLv,https://api.spotify.com/v1/audio-analysis/7hOfHLHUyYaOVuL8MxzoLv,202428,3,The Kirby Stone Four,"Baubles, Bangles And Beads",1958-08-11,100,50.0,50,2
0.609,0.615,5,-13.838,1,0.0295,0.739,0.0,0.122,0.961,108.957,audio_features,6P1oWtsnapAwJ40swoD3tG,spotify:track:6P1oWtsnapAwJ40swoD3tG,https://api.spotify.com/v1/tracks/6P1oWtsnapAwJ40swoD3tG,https://api.spotify.com/v1/audio-analysis/6P1oWtsnapAwJ40swoD3tG,137533,4,The Rinky-Dinks,Early In The Morning,1958-08-04,52,,52,1
0.609,0.615,5,-13.838,1,0.0295,0.739,0.0,0.122,0.961,108.957,audio_features,6P1oWtsnapAwJ40swoD3tG,spotify:track:6P1oWtsnapAwJ40swoD3tG,https://api.spotify.com/v1/tracks/6P1oWtsnapAwJ40swoD3tG,https://api.spotify.com/v1/audio-analysis/6P1oWtsnapAwJ40swoD3tG,137533,4,The Rinky-Dinks,Early In The Morning,1958-08-11,24,52.0,24,2
0.548,0.256,3,-14.527,1,0.0374,0.823,1.4e-05,0.101,0.548,100.805,audio_features,76AbCflWiJBgByIqFl396O,spotify:track:76AbCflWiJBgByIqFl396O,https://api.spotify.com/v1/tracks/76AbCflWiJBgByIqFl396O,https://api.spotify.com/v1/audio-analysis/76AbCflWiJBgByIqFl396O,168827,4,Nat King Cole,Come Closer To Me (Acercate Mas),1958-08-04,53,,53,1
0.548,0.256,3,-14.527,1,0.0374,0.823,1.4e-05,0.101,0.548,100.805,audio_features,76AbCflWiJBgByIqFl396O,spotify:track:76AbCflWiJBgByIqFl396O,https://api.spotify.com/v1/tracks/76AbCflWiJBgByIqFl396O,https://api.spotify.com/v1/audio-analysis/76AbCflWiJBgByIqFl396O,168827,4,Nat King Cole,Come Closer To Me (Acercate Mas),1958-08-11,46,53.0,46,2
0.518,0.06,10,-14.887,1,0.0441,0.987,7.87e-06,0.161,0.336,127.87,audio_features,006Ndmw2hHxvnLbJsBFnPx,spotify:track:006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx,216373,4,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),1958-08-04,54,,54,1
0.518,0.06,10,-14.887,1,0.0441,0.987,7.87e-06,0.161,0.336,127.87,audio_features,006Ndmw2hHxvnLbJsBFnPx,spotify:track:006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx,216373,4,Domenico Modugno,Nel Blu Dipinto Di Blu (Volare),1958-08-11,2,54.0,2,2
0.224,0.106,8,-27.422,1,0.0412,0.891,0.673,0.111,0.124,66.073,audio_features,5jfEMDuh7u4on4guQXxgUF,spotify:track:5jfEMDuh7u4on4guQXxgUF,https://api.spotify.com/v1/tracks/5jfEMDuh7u4on4guQXxgUF,https://api.spotify.com/v1/audio-analysis/5jfEMDuh7u4on4guQXxgUF,137340,4,The Three G's,Let's Go Steady For The Summer,1958-08-04,55,,55,1
0.224,0.106,8,-27.422,1,0.0412,0.891,0.673,0.111,0.124,66.073,audio_features,5jfEMDuh7u4on4guQXxgUF,spotify:track:5jfEMDuh7u4on4guQXxgUF,https://api.spotify.com/v1/tracks/5jfEMDuh7u4on4guQXxgUF,https://api.spotify.com/v1/audio-analysis/5jfEMDuh7u4on4guQXxgUF,137340,4,The Three G's,Let's Go Steady For The Summer,1958-08-11,75,55.0,55,2
0.85,0.556,9,-8.143,1,0.0927,0.106,0.0,0.144,0.883,114.987,audio_features,55p8TQ1ggGYOO1gLQrC52D,spotify:track:55p8TQ1ggGYOO1gLQrC52D,https://api.spotify.com/v1/tracks/55p8TQ1ggGYOO1gLQrC52D,https://api.spotify.com/v1/audio-analysis/55p8TQ1ggGYOO1gLQrC52D,184440,4,Jack Scott,Leroy,1958-08-04,56,,56,1
0.85,0.556,9,-8.143,1,0.0927,0.106,0.0,0.144,0.883,114.987,audio_features,55p8TQ1ggGYOO1gLQrC52D,spotify:track:55p8TQ1ggGYOO1gLQrC52D,https://api.spotify.com/v1/tracks/55p8TQ1ggGYOO1gLQrC52D,https://api.spotify.com/v1/audio-analysis/55p8TQ1ggGYOO1gLQrC52D,184440,4,Jack Scott,Leroy,1958-08-11,56,56.0,56,2
0.429,0.446,2,-13.246,1,0.0644,0.182,5.06e-06,0.385,0.686,125.514,audio_features,4f6Ijj1nFBWgnTdeiZYRK2,spotify:track:4f6Ijj1nFBWgnTdeiZYRK2,https://api.spotify.com/v1/tracks/4f6Ijj1nFBWgnTdeiZYRK2,https://api.spotify.com/v1/audio-analysis/4f6Ijj1nFBWgnTdeiZYRK2,149092,4,Eydie Gorme,You Need Hands,1958-08-04,57,,57,1
0.429,0.446,2,-13.246,1,0.0644,0.182,5.06e-06,0.385,0.686,125.514,audio_features,4f6Ijj1nFBWgnTdeiZYRK2,spotify:track:4f6Ijj1nFBWgnTdeiZYRK2,https://api.spotify.com/v1/tracks/4f6Ijj1nFBWgnTdeiZYRK2,https://api.spotify.com/v1/audio-analysis/4f6Ijj1nFBWgnTdeiZYRK2,149092,4,Eydie Gorme,You Need Hands,1958-08-11,64,57.0,57,2
0.608,0.621,8,-7.016,0,0.0468,0.125,0.213,0.226,0.339,82.511,audio_features,3M1wrmH2DCIR3syOfjPoxW,spotify:track:3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/tracks/3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/audio-analysis/3M1wrmH2DCIR3syOfjPoxW,162909,4,The Crickets,Think It Over,1958-08-04,27,,27,1
0.608,0.621,8,-7.016,0,0.0468,0.125,0.213,0.226,0.339,82.511,audio_features,3M1wrmH2DCIR3syOfjPoxW,spotify:track:3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/tracks/3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/audio-analysis/3M1wrmH2DCIR3syOfjPoxW,162909,4,The Crickets,Fool's Paradise,1958-08-04,58,,58,1
0.608,0.621,8,-7.016,0,0.0468,0.125,0.213,0.226,0.339,82.511,audio_features,3M1wrmH2DCIR3syOfjPoxW,spotify:track:3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/tracks/3M1wrmH2DCIR3syOfjPoxW,https://api.spotify.com/v1/audio-analysis/3M1wrmH2DCIR3syOfjPoxW,162909,4,The Crickets,Think It Over,1958-08-11,32,27.0,27,2
0.421,0.0533,0,-22.052,1,0.0405,0.946,0.000437,0.131,0.111,111.996,audio_features,7yED4n2U8RR5LKZVmisiev,spotify:track:7yED4n2U8RR5LKZVmisiev,https://api.spotify.com/v1/tracks/7yED4n2U8RR5LKZVmisiev,https://api.spotify.com/v1/audio-analysis/7yED4n2U8RR5LKZVmisiev,203307,4,Tony Bennett,Young And Warm And Wonderful,1958-08-04,59,,59,1
0.421,0.0533,0,-22.052,1,0.0405,0.946,0.000437,0.131,0.111,111.996,audio_features,7yED4n2U8RR5LKZVmisiev,spotify:track:7yED4n2U8RR5LKZVmisiev,https://api.spotify.com/v1/tracks/7yED4n2U8RR5LKZVmisiev,https://api.spotify.com/v1/audio-analysis/7yED4n2U8RR5LKZVmisiev,203307,4,Tony Bennett,Young And Warm And Wonderful,1958-08-11,82,59.0,59,2
0.638,0.55,0,-13.077,1,0.115,0.697,0.0,0.0938,0.559,80.233,audio_features,3ixHQiAUk6F6ZU1tipromq,spotify:track:3ixHQiAUk6F6ZU1tipromq,https://api.spotify.com/v1/tracks/3ixHQiAUk6F6ZU1tipromq,https://api.spotify.com/v1/audio-analysis/3ixHQiAUk6F6ZU1tipromq,143320,4,Bobby Day,Over And Over,1958-08-04,60,,60,1
0.638,0.55,0,-13.077,1,0.115,0.697,0.0,0.0938,0.559,80.233,audio_features,3ixHQiAUk6F6ZU1tipromq,spotify:track:3ixHQiAUk6F6ZU1tipromq,https://api.spotify.com/v1/tracks/3ixHQiAUk6F6ZU1tipromq,https://api.spotify.com/v1/audio-analysis/3ixHQiAUk6F6ZU1tipromq,143320,4,Bobby Day,Over And Over,1958-08-11,53,60.0,53,2
0.597,0.551,2,-9.955,1,0.105,0.666,0.0191,0.0559,0.943,74.534,audio_features,5E9jgmxFfwICoIfvVRYM6i,spotify:track:5E9jgmxFfwICoIfvVRYM6i,https://api.spotify.com/v1/tracks/5E9jgmxFfwICoIfvVRYM6i,https://api.spotify.com/v1/audio-analysis/5E9jgmxFfwICoIfvVRYM6i,152333,4,Bobby Hendricks,Itchy Twitchy Feeling,1958-08-04,61,,61,1
0.597,0.551,2,-9.955,1,0.105,0.666,0.0191,0.0559,0.943,74.534,audio_features,5E9jgmxFfwICoIfvVRYM6i,spotify:track:5E9jgmxFfwICoIfvVRYM6i,https://api.spotify.com/v1/tracks/5E9jgmxFfwICoIfvVRYM6i,https://api.spotify.com/v1/audio-analysis/5E9jgmxFfwICoIfvVRYM6i,152333,4,Bobby Hendricks,Itchy Twitchy Feeling,1958-08-11,50,61.0,50,2
