uri,artist,song,date
spotify:track:5ayybTSXNwcarDtxQKqvWX,Ricky Nelson,Poor Little Fool,1958-08-04
spotify:track:2bwhOdCOLgQ8v6xStAqnju,Perez Prado And His Orchestra,Patricia,1958-08-04
spotify:track:40fD7ct05FvQHLdQTgJelG,Bobby Darin,Splish Splash,1958-08-04
spotify:track:32CVurlBxtEYQlDm3yzCLl,Elvis Presley With The Jordanaires,Hard Headed Woman,1958-08-04
spotify:track:3HZJ9BLBpDya4p71VfXSWp,Kalin Twins,When,1958-08-04
spotify:track:35ySEC3RyS1w36bkpgj1lT,Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser,1958-08-04
spotify:track:3Lbxie6whOW4eMt4jtI32k,The Coasters,Yakety Yak,1958-08-04
spotify:track:2Un1O9CChp4wyTmt422XwW,Jack Scott,My True Love,1958-08-04
spotify:track:2dOXiyppBWCE9J2yYRosM4,The Johnny Otis Show,Willie And The Hand Jive,1958-08-04
spotify:track:3aPlQWU07jGgyHaBHVS5TS,Peggy Lee,Fever,1958-08-04
spotify:track:5kqXQHIgQ6UfFP9LfqPNgG,Frankie Avalon,Ginger Bread,1958-08-04
spotify:track:1LeSp4o3CeNhJz3kCWgi6E,Jimmy Clanton And His Rockets,Just A Dream,1958-08-04
spotify:track:3v5o91PrUtf0nmO6j8J7dZ,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),1958-08-04
spotify:track:4SpYlfoXFnEFYG16nOfFmy,Pat Boone,If Dreams Came True,1958-08-04
spotify:track:7zCI47ILA6MAYXrlI487Hs,Jerry Butler and The Impressions,For Your Precious Love,1958-08-04
spotify:track:5GEsOz5Pbln0j2RcmBGLa4,The Danleers,One Summer Night,1958-08-04
spotify:track:7cb19X9Bavre8c1kUR1cGH,Jody Reynolds,Endless Sleep,1958-08-04
spotify:track:6xupOaBWORbDmakCdQwMRG,The Elegants,Little Star,1958-08-04
spotify:track:6QfGyzfwf7dm38Tmf49BpC,Doris Day,Everybody Loves A Lover,1958-08-04
